Time,postgresql
2025-12-20 18:59:00,0.00760
2025-12-20 19:00:00,0.00675
2025-12-20 19:01:00,0.00767
2025-12-20 19:02:00,0.00782
2025-12-20 19:03:00,0.00889
2025-12-20 19:04:00,0.00930
2025-12-20 19:05:00,0.00789
2025-12-20 19:06:00,0.00830
2025-12-20 19:07:00,0.00820
2025-12-20 19:08:00,0.00891
2025-12-20 19:09:00,0.0101
2025-12-20 19:10:00,0.00942
2025-12-20 19:11:00,0.00911
2025-12-20 19:12:00,0.00640
2025-12-20 19:13:00,0.00784
2025-12-20 19:14:00,0.0107
2025-12-20 19:15:00,0.00940
2025-12-20 19:16:00,0.00902
2025-12-20 19:17:00,0.00658
2025-12-20 19:18:00,0.00850
2025-12-20 19:19:00,0.00891
2025-12-20 19:20:00,0.00907
2025-12-20 19:21:00,0.00862
2025-12-20 19:22:00,0.00820
2025-12-20 19:23:00,0.00970
2025-12-20 19:24:00,0.00884
2025-12-20 19:25:00,0.00914
2025-12-20 19:26:00,0.00699
2025-12-20 19:27:00,0.0108
2025-12-20 19:28:00,0.0100
2025-12-20 19:29:00,0.00784
2025-12-20 19:30:00,0.0108
2025-12-20 19:31:00,0.00721
2025-12-20 19:32:00,0.00686
2025-12-20 19:33:00,0.00812
2025-12-20 19:34:00,0.00814
2025-12-20 19:35:00,0.00905
2025-12-20 19:36:00,0.0107
2025-12-20 19:37:00,0.00880
2025-12-20 19:38:00,0.00800
2025-12-20 19:39:00,0.00883
2025-12-20 19:40:00,0.00915
2025-12-20 19:41:00,0.00945
2025-12-20 19:42:00,0.00790
2025-12-20 19:43:00,0.00954
2025-12-20 19:44:00,0.0104
2025-12-20 19:45:00,0.00957
2025-12-20 19:46:00,0.00810
2025-12-20 19:47:00,0.00847
2025-12-20 19:48:00,0.00801
2025-12-20 19:49:00,0.00984
2025-12-20 19:50:00,0.00624
2025-12-20 19:51:00,0.00944
2025-12-20 19:52:00,0.0107
2025-12-20 19:53:00,0.00871
2025-12-20 19:54:00,0.00835
2025-12-20 19:55:00,0.00811
2025-12-20 19:56:00,0.00823
2025-12-20 19:57:00,0.00870
2025-12-20 19:58:00,0.0108
2025-12-20 19:59:00,0.00775
