Time,eureka-server
2025-12-20 18:59:00,0.00948
2025-12-20 19:00:00,0.0106
2025-12-20 19:01:00,0.0102
2025-12-20 19:02:00,0.00997
2025-12-20 19:03:00,0.0106
2025-12-20 19:04:00,0.00917
2025-12-20 19:05:00,0.00922
2025-12-20 19:06:00,0.00949
2025-12-20 19:07:00,0.00934
2025-12-20 19:08:00,0.00950
2025-12-20 19:09:00,0.00908
2025-12-20 19:10:00,0.00914
2025-12-20 19:11:00,0.00933
2025-12-20 19:12:00,0.0114
2025-12-20 19:13:00,0.00951
2025-12-20 19:14:00,0.00948
2025-12-20 19:15:00,0.00942
2025-12-20 19:16:00,0.00951
2025-12-20 19:17:00,0.00923
2025-12-20 19:18:00,0.00939
2025-12-20 19:19:00,0.00937
2025-12-20 19:20:00,0.0108
2025-12-20 19:21:00,0.00931
2025-12-20 19:22:00,0.00924
2025-12-20 19:23:00,0.00938
2025-12-20 19:24:00,0.00930
2025-12-20 19:25:00,0.00934
2025-12-20 19:26:00,0.00964
2025-12-20 19:27:00,0.00941
2025-12-20 19:28:00,0.00961
2025-12-20 19:29:00,0.00972
2025-12-20 19:30:00,0.00935
2025-12-20 19:31:00,0.0122
2025-12-20 19:32:00,0.0103
2025-12-20 19:33:00,0.00918
2025-12-20 19:34:00,0.0175
2025-12-20 19:35:00,0.00967
2025-12-20 19:36:00,0.00969
2025-12-20 19:37:00,0.00993
2025-12-20 19:38:00,0.00939
2025-12-20 19:39:00,0.00939
2025-12-20 19:40:00,0.0112
2025-12-20 19:41:00,0.0240
2025-12-20 19:42:00,0.0101
2025-12-20 19:43:00,0.00937
2025-12-20 19:44:00,0.00959
2025-12-20 19:45:00,0.00951
2025-12-20 19:46:00,0.0101
2025-12-20 19:47:00,0.00909
2025-12-20 19:48:00,0.0157
2025-12-20 19:49:00,0.00945
2025-12-20 19:50:00,0.00942
2025-12-20 19:51:00,0.00950
2025-12-20 19:52:00,0.00890
2025-12-20 19:53:00,0.00971
2025-12-20 19:54:00,0.0107
2025-12-20 19:55:00,0.00924
2025-12-20 19:56:00,0.00903
2025-12-20 19:57:00,0.0104
2025-12-20 19:58:00,0.00948
2025-12-20 19:59:00,0.00916
